Variable,Guth Classification,Type
PRWKSTAT,3,
PRWNTJOB,4,
PUJHCK3,4,
PUJHCK4,4,
PUJHCK5,4,
PUIODP1,4,
PUIODP2,4,
PUIODP3,4,
PEIO1COW,2,
PUIO1MFG,3,
PEIO2COW,4,
PUIO2MFG,4,
PUIOCK1,4,
PUIOCK2,4,
PUIOCK3,4,
PRIOELG,4,
PRAGNA,3,
PRCOW1,4,
PRCOW2,4,
PRCOWPG,2,
PRDTCOW1,3,
PRDTCOW2,4,
PRDTIND1,3,
PRDTIND2,4,
PRDTOCC1,3,
PRDTOCC2,4,
PREMP,4,
PRMJIND1,3,
PRMJIND2,4,
PRMJOCC1,4,
PRMJOCC2,4,
PRMJOCGR,4,
PRNAGPWS,4,
PRNAGWS,4,
PRSJMJ,4,
PRERELG,4,
PEERNUOT,4,
PEERNPER,4,
PEERNRT,4,
PEERNHRY,3,
PUERNH1C,4,
PEERNH2,4,
PEERNH1O,3,
PRERNHLY,2,
PTHR,4,
PEERNHRO,4,
PRERNWA,3,
PTWK,4,
PEERN,3,
PUERN2,4,
PTOT,4,
PEERNWKP,4,
PEERNLAB,2,
PEERNCOV,4,
PENLFJH,4,
PENLFRET,4,
PENLFACT,3,
PUNLFCK1,4,
PUNLFCK2,4,
PESCHENR,3,
PESCHFT,3,
PESCHLVL,3,
PRNLFSCH,3,
PWFMWGT,4,
PWLGWGT,4,
PWORWGT,4,
PWSSWGT,4,
PWVETWGT,4,
PRCHLD,2,
PRNMCHLD,3,
PRWERNAL,4,
PRHERNAL,4,
HXTENURE,4,
HXHOUSUT,4,
HXTELHHD,4,
HXTELAVL,4,
HXPHONEO,4,
PXINUSYR,4,
PXRRP,4,
PXPARENT,4,
PXAGE,4,
PXMARITL,4,
PXSPOUSE,2,
PXSEX,4,
PXAFWHN1,4,
PXAFNOW,3,
PXEDUCA,3,
PXRACE1,3,
PXNATVTY,3,
PXMNTVTY,4,
PXFNTVTY,4,
PXHSPNON,4,
PXMLR,4,
PXRET1,3,
PXABSRSN,4,
PXABSPDO,4,
PXMJOT,4,
PXMJNUM,4,
PXHRUSL1,4,
PXHRUSL2,4,
PXHRFTPT,4,
PXHRUSLT,4,
PXHRWANT,4,
PXHRRSN1,4,
PXHRRSN2,4,
PXHRACT1,4,
PXHRACT2,4,
PXHRACTT,4,
PXHRRSN3,4,
PXHRAVL,4,
PXLAYAVL,4,
PXLAYLK,4,
PXLAYDUR,4,
PXLAYFTO,4,
PXLKM1,4,
PXLKAVL,4,
PXLKLL1O,4,
PXLKLL2O,4,
PXLKLWO,4,
PXLKDUR,4,
PXLKFTO,4,
PXDWWNTO,4,
PXDWRSN,4,
PXDWLKO,4,
PXDWWK,4,
PXDW4WK,4,
PXDWLKWK,4,
PXDWAVL,4,
PXDWAVR,4,
PXJHWKO,4,
PXJHRSN,4,
PXJHWANT,4,
PXIO1COW,4,
PXIO1ICD,4,
PXIO1OCD,4,
PXIO2COW,4,
PXIO2ICD,4,
PXIO2OCD,4,
PXERNUOT,4,
PXERNPER,4,
PXERNH1O,4,
PXERNHRO,4,
PXERN,4,
PXERNWKP,4,
PXERNRT,4,
PXERNHRY,4,
PXERNH2,4,
PXERNLAB,4,
PXERNCOV,4,
PXNLFJH,4,
PXNLFRET,4,
PXNLFACT,4,
PXSCHENR,4,
PXSCHFT,4,
PXSCHLVL,4,
QSTNUM,4,
OCCURNUM,3,
PEDIPGED,4,
PEHGCOMP,4,
PECYC,2,
PEGRPROF,1,
PEGR6COR,4,
PEMS123,4,
PXDIPGED,4,
PXHGCOMP,4,
PXCYC,4,
PXGRPROF,4,
PXGR6COR,4,
PXMS123,4,
PWCMPWGT,4,
PEIO1ICD,4,
PEIO1OCD,4,
PEIO2ICD,4,
PEIO2OCD,4,
PRIMIND1,3,
PRIMIND2,4,
PEAFWHN1,3,
PEAFWHN2,4,
PEAFWHN3,4,
PEAFWHN4,4,
PXAFEVER,4,
PELNDAD,4,
PELNMOM,4,
PEDADTYP,3,
PEMOMTYP,3,
PECOHAB,4,
PXLNDAD,4,
PXLNMOM,4,
PXDADTYP,4,
PXMOMTYP,4,
PXCOHAB,2,
PEDISEAR,2,
PEDISEYE,2,
PEDISREM,2,
PEDISPHY,2,
PEDISDRS,2,
PEDISOUT,2,
PRDISFLG,2,
PXDISEAR,4,
PXDISEYE,4,
PXDISREM,4,
PXDISPHY,4,
PXDISDRS,4,
PXDISOUT,4,
